iPS_DF_6.9	ENCFF945NSO.bam	ENCFF482OZK.bam
SJCRH30	ENCFF341VJH.bam	ENCFF936CKN.bam
SJCRH30	ENCFF341VJH.bam	ENCFF858VHX.bam
SJCRH30	ENCFF615UCM.bam	ENCFF936CKN.bam
SJCRH30	ENCFF615UCM.bam	ENCFF858VHX.bam
muscle_of_trunk	ENCFF003DAC_pooled.bam	ENCFF763MLK.bam
Panc1	ENCFF758LGO.bam	ENCFF369ZQD.bam
Panc1	ENCFF758LGO.bam	ENCFF911FBA.bam
Panc1	ENCFF630TTA.bam	ENCFF369ZQD.bam
Panc1	ENCFF630TTA.bam	ENCFF911FBA.bam
CD8-positive_alpha-beta_T_cell	ENCFF979BMY_pooled.bam	ENCFF687FNY.bam
trophoblast_cell	ENCFF940FRR.bam	ENCFF111LOB.bam
trophoblast_cell	ENCFF940FRR.bam	ENCFF557QSZ.bam
trophoblast_cell	ENCFF649DOA.bam	ENCFF111LOB.bam
trophoblast_cell	ENCFF649DOA.bam	ENCFF557QSZ.bam
ovary	ENCFF507JAZ_pooled.bam	ENCFF967XYM.bam
WERI-Rb-1	ENCFF942RSF.bam	ENCFF417QIX.bam
WERI-Rb-1	ENCFF942RSF.bam	ENCFF635LGT.bam
WERI-Rb-1	ENCFF865WFU.bam	ENCFF417QIX.bam
WERI-Rb-1	ENCFF865WFU.bam	ENCFF635LGT.bam
astrocyte	ENCFF541YQF.bam	ENCFF913KXS.bam
astrocyte	ENCFF541YQF.bam	ENCFF135NBG.bam
astrocyte	ENCFF531HMN.bam	ENCFF913KXS.bam
astrocyte	ENCFF531HMN.bam	ENCFF135NBG.bam
MM.1S	ENCFF096WJC.bam	ENCFF185IQV.bam
MM.1S	ENCFF096WJC.bam	ENCFF598TRS.bam
AG04450	ENCFF654YAW.bam	ENCFF755VCN.bam
AG04450	ENCFF234GZI.bam	ENCFF755VCN.bam
A549	ENCFF101SSS.bam	ENCFF768NFP.bam
A549	ENCFF101SSS.bam	ENCFF494LFL.bam
A549	ENCFF101SSS.bam	ENCFF255ROU.bam
A549	ENCFF332WAL.bam	ENCFF768NFP.bam
A549	ENCFF332WAL.bam	ENCFF494LFL.bam
A549	ENCFF332WAL.bam	ENCFF255ROU.bam
A549	ENCFF974NNZ.bam	ENCFF768NFP.bam
A549	ENCFF974NNZ.bam	ENCFF494LFL.bam
A549	ENCFF974NNZ.bam	ENCFF255ROU.bam
A549	ENCFF134NCO.bam	ENCFF768NFP.bam
A549	ENCFF134NCO.bam	ENCFF494LFL.bam
A549	ENCFF134NCO.bam	ENCFF255ROU.bam
neural_progenitor_cell	ENCFF983LXZ.bam	ENCFF520KTX.bam
neural_progenitor_cell	ENCFF983LXZ.bam	ENCFF431QYZ.bam
neural_progenitor_cell	ENCFF458DNP.bam	ENCFF520KTX.bam
neural_progenitor_cell	ENCFF458DNP.bam	ENCFF431QYZ.bam
brain_microvascular_endothelial_cell	ENCFF602GJR.bam	ENCFF631QWP.bam
brain_microvascular_endothelial_cell	ENCFF602GJR.bam	ENCFF175JIW.bam
brain_microvascular_endothelial_cell	ENCFF570DJQ.bam	ENCFF631QWP.bam
brain_microvascular_endothelial_cell	ENCFF570DJQ.bam	ENCFF175JIW.bam
HCT116	ENCFF930CYR.bam	ENCFF577INZ_pooled.bam
HCT116	ENCFF930CYR.bam	ENCFF068RBY.bam
HCT116	ENCFF847LNB.bam	ENCFF577INZ_pooled.bam
HCT116	ENCFF847LNB.bam	ENCFF068RBY.bam
A673	ENCFF844DHJ.bam	ENCFF501QCN.bam
A673	ENCFF844DHJ.bam	ENCFF313TDL.bam
A673	ENCFF669BHZ.bam	ENCFF501QCN.bam
A673	ENCFF669BHZ.bam	ENCFF313TDL.bam
GM23248	ENCFF263FYX.bam	ENCFF207QWZ.bam
GM23248	ENCFF263FYX.bam	ENCFF575LUX.bam
GM23248	ENCFF747VYA.bam	ENCFF207QWZ.bam
